Date,Price,Volume,% change in vs yesterday,Is ATH,Last 7 days growth,Prediction
43101,13715.65,8609.915844,0,1,0,0
43102,13382.16,20078.09211,-0.02,0,-0.02431456,1
43103,14690,15905.66764,0.1,1,0.071039287,1
43104,14919.51,21329.64957,0.02,1,0.087772727,1
43105,15059.56,23251.49113,0.01,1,0.09798369,1
43106,16960.39,18571.45751,0.13,1,0.236572091,1
43107,17069.79,12493.12556,0.01,1,0.244548381,0
43108,16218.85,26600.60991,-0.05,0,0.211975496,0
43109,14902.54,14315.00425,-0.08,0,0.014468346,0
43110,14401,17411.00166,-0.03,0,-0.034753822,1
43111,14940,33554.72375,0.04,0,-0.007939143,0
43112,13238.76,16417.16214,-0.11,0,-0.219430685,1
43113,13749.95,12221.50853,0.04,0,-0.194486282,1
43114,14210,17017.89433,0.03,0,-0.123858967,0
43115,13477.98,14652.09471,-0.05,0,-0.095591758,1
43116,13500,63401.16918,0,0,-0.0625651,0
43117,10899.99,72331.79665,-0.19,0,-0.270415663,1
43118,10972.59,48464.43494,0.01,0,-0.171176908,0
43119,10960,34129.37542,0,0,-0.202906192,1
43120,11474.98,28768.85783,0.05,0,-0.192471499,1
43121,12799.8,41379.77343,0.12,0,-0.050317629,0
43122,11530,43752.60679,-0.1,0,-0.145925926,0
43123,10760.05,37473.92255,-0.07,0,-0.012838544,1
43124,10799.14,27158.58776,0,0,-0.015807571,1
43125,11349.96,20839.95418,0.05,0,0.035580292,0
43126,11184.7,33056.87196,-0.01,0,-0.025296776,0
43127,11089,18860.76835,-0.01,0,-0.133658338,1
43128,11499.98,16887.33952,0.04,0,-0.002603643,1
43129,11879.95,14170.37754,0.03,0,0.104079442,0
43130,11250.11,25554.37295,-0.05,0,0.041759807,0
43131,10230,18015.95681,-0.09,0,-0.098675238,1
43132,10285.1,33564.76431,0.01,0,-0.080431303,0
43133,9224.52,49971.62698,-0.1,0,-0.168137794,0
43134,8873.03,28725.00074,-0.04,0,-0.228430832,1
43135,9199.96,32014.30845,0.04,0,-0.225589333,0
43136,8179.99,63403.18258,-0.11,0,-0.272896887,0
43137,6939.63,100201.5003,-0.15,0,-0.321639296,1
43138,7655.02,60778.4605,0.1,0,-0.255717494,0
43139,7599,1521.537318,-0.01,0,-0.176217299,1
43140,7789.9,20482.91083,0.03,0,-0.122069913,1
43141,8683.93,49381.51265,0.11,0,-0.056090461,0
43142,8533.99,45025.18795,-0.02,0,0.043276337,0
43143,8063.82,41987.85049,-0.06,0,0.161995668,1
43144,8903,35454.97296,0.1,0,0.16302766,0
43145,8535.17,40811.95287,-0.04,0,0.123196473,1
43146,9449.98,52427.59672,0.11,0,0.213106715,1
43147,10000.89,38161.20597,0.06,0,0.151654838,1
43148,10156.07,41882.10841,0.02,0,0.190072873,1
43149,11039.55,61137.38073,0.09,0,0.369022374,0
43150,10375.01,40831.41713,-0.06,0,0.16533865,1
43151,11147.11,48153.35429,0.07,0,0.306020853,1
43152,11195.07,68113.81875,0,0,0.184665999,0
43153,10439.02,67060.16648,-0.07,0,0.043809101,0
43154,9815.55,57202.70237,-0.06,0,-0.033528717,1
43155,10131.04,40888.1563,0.03,0,-0.082295927,0
43156,9694.51,28373.51759,-0.04,0,-0.065590298,0
43157,9590,34878.29276,-0.01,0,-0.139687327,1
43158,10321,30705.38512,0.08,0,-0.078076332,1
43159,10584.33,30800.98378,0.03,0,0.013919889,0
43160,10325.64,25092.55393,-0.02,0,0.051967541,1
43161,10923.36,23910.71009,0.06,0,0.078207173,1
43162,11038.99,21287.15328,0.01,0,0.138684678,1
43163,11464.47,17295.91865,0.04,0,0.195460897,1
43164,11515,15144.23106,0,0,0.115686464,0
43165,11455,29515.57236,-0.01,0,0.082260285,0
43166,10716.48,50647.67108,-0.06,0,0.037851407,0
43167,9910,41109.47323,-0.08,0,-0.09276999,0
43168,9267.07,64112.29141,-0.06,0,-0.160514685,0
43169,9230,37180.01286,0,0,-0.194903907,0
43170,8770.22,44325.97339,-0.05,0,-0.23836561,1
43171,9533.57,42230.77793,0.09,0,-0.167737233,0
43172,9131.34,40191.40936,-0.04,0,-0.147916107,1
43173,9151.92,49708.09411,0,0,-0.076496468,0
43174,8184.01,52291.02228,-0.11,0,-0.116871892,1
43175,8240.98,38815.40989,0.01,0,-0.107152763,1
43176,8260,33110.20633,0,0,-0.05817642,0
43177,7824.01,59488.23171,-0.05,0,-0.179320024,1
43178,8189,55297.08494,0.05,0,-0.103198435,1
43179,8595.01,44865.10584,0.05,0,-0.060851712,1
43180,8909.96,39972.40537,0.04,0,0.08870346,0
43181,8884.82,40617.55681,0,0,0.078126631,0
43182,8720,39991.00767,-0.02,0,0.055690073,1
43183,8898.04,35466.60957,0.02,0,0.137273598,0
43184,8531.25,29001.76932,-0.04,0,0.04179387,0
